,ROI000,ROI001,ROI002,ROI003,ROI004,ROI005,ROI006,ROI007,ROI008,ROI009,ROI010,ROI011,ROI012,ROI013,ROI014,ROI015,ROI016,ROI017,ROI018,ROI019,ROI020,ROI021,ROI022,ROI023,ROI024,ROI025,ROI026,ROI027,ROI028,ROI029,ROI030,ROI031,ROI032,ROI033,ROI034,ROI035,ROI036,ROI037,ROI038,ROI039,ROI040,ROI041,ROI042,ROI043,ROI044,ROI045,ROI046,ROI047,ROI048,ROI049,ROI050,ROI051,ROI052,ROI053,ROI054,ROI055,ROI056,ROI057,ROI058,ROI059,ROI060,ROI061,ROI062,ROI063,ROI064,ROI065,ROI066,ROI067,ROI068,ROI069,ROI070,ROI071,ROI072,ROI073,ROI074,ROI075,ROI076,ROI077,ROI078,ROI079,ROI080,ROI081,ROI082,ROI083,ROI084,ROI085,ROI086,ROI087,ROI088,ROI089,ROI090,ROI091,ROI092,ROI093,ROI094,ROI095,ROI096,ROI097,ROI098,ROI099,ROI100,ROI101,ROI102,ROI103,ROI104,ROI105,ROI106,ROI107,ROI108,ROI109,ROI110,ROI111,ROI112,ROI113,ROI114,ROI115,ROI116,ROI117,ROI118,ROI119,ROI120,ROI121,ROI122,ROI123,ROI124,ROI125,ROI126,ROI127,ROI128,ROI129,ROI130,ROI131,ROI132,ROI133,ROI134,ROI135,ROI136,ROI137,ROI138,ROI139,ROI140,ROI141,ROI142,ROI143,ROI144,ROI145,ROI146,ROI147,ROI148,ROI149,ROI150,ROI151,ROI152,ROI153,ROI154,ROI155,ROI156
0 days 00:06:03,-0.0152256,-0.0193127,-0.00744792,-0.0236957,-0.0195201,-0.0278095,-0.0293608,0.00336994,-0.0143763,-0.0219401,0.00434141,-0.00680469,0.023377,-0.0165455,-0.017581,-0.0185766,-0.00141686,-0.005416,-0.0262537,-0.0368408,-0.0228354,-0.0419443,0.00858542,0.00802052,-0.0677399,0.00282558,-0.0326223,0.0227601,-0.00335803,-0.0165494,-0.0390808,-0.0181328,-0.0470558,0.0122942,-0.010905,-0.0643661,0.000613256,-0.0216579,0.0155989,-0.00934763,-0.00459455,-0.0435511,-0.0227692,0.00337392,0.0192345,-0.0429268,0.0129474,0.0197084,-0.00478567,0.00193804,-0.00887949,0.00520635,0.0131262,0.0119947,-0.00702562,0.00788574,-0.00525036,-0.0158118,-0.0126873,-0.0182388,-0.0391598,-0.025601,-0.0067252,0.00705163,0.00683938,-0.0123361,-0.0131794,0.0259753,-0.0182642,-0.0315682,0.00270126,-0.0189543,-0.000803062,-0.0138346,0.00418467,-0.0189114,0.00444451,-0.0233452,-0.0154481,0.00141701,-0.0277372,0.00347552,0.00878007,0.00968621,0.0067106,-0.0251425,-0.0251599,0.0165627,0.0124279,-0.0192994,0.00926406,0.0034993,-0.0163754,-0.0250156,-0.0152183,-0.0158707,-0.00671194,-0.0315332,-0.0120131,0.0308716,0.00542362,0.0115443,0.00433852,-0.0110965,-0.027367,-0.000644731,0.00460533,0.0369229,0.00392136,-0.0398282,-0.0452117,-0.0314975,-0.0176744,-0.00409048,0.0166047,-0.0156082,0.00232947,-0.00466193,0.0470968,-4.43103e-05,0.00916468,0.00934644,-0.00646197,-0.012348,-0.00600789,-0.0119212,0.0262028,-0.0460764,-0.022006,-0.0203712,-0.050552,-0.00664455,-0.0183976,-0.00394997,-0.0273712,-0.019851,0.00642751,-0.00670536,0.0188003,-0.0055717,-0.0378867,-0.0166609,-0.00749089,-0.0126465,-0.00872721,-0.0249036,-0.0330478,0.00834174,-0.0258978,-0.01337,-0.0176698,-0.0253852,-0.00676329,0.00429987,0.0111886,-0.00310523,-0.0133065
0 days 00:06:04.500000,-0.0141829,-0.00971911,0.000573019,0.0298857,-0.0584596,-0.0187675,-0.0167069,0.00799906,0.000808064,-0.0163764,0.0264106,0.0046485,0.0122787,0.00639299,-0.00348186,-0.00585912,0.0153538,-0.00819204,-0.056984,-0.0166596,-0.0202802,-0.0424432,-0.0100634,0.0213904,-0.0324524,-0.0102276,-0.0150614,0.0175236,0.0212373,-0.0379543,0.000739255,-0.0143058,-0.037301,-0.0192917,0.0246039,-0.032903,-0.00180744,-0.0317801,-0.0174495,0.0114987,0.00276258,-0.0331761,-0.0331036,0.0304568,0.0119608,0.000344513,0.0108655,0.0175761,0.028146,-0.00414981,-0.000132309,0.0186767,0.0195662,0.0297594,-0.00152441,0.012158,-0.0251389,-0.018352,-0.009042,-0.00482736,-0.00619418,-0.000654588,0.0168924,-0.00946507,0.00121958,0.0357493,-0.0207307,0.0310723,-0.0268551,-0.0160397,0.0275574,0.0170095,0.0194556,-0.00889871,0.0496389,-0.0233097,0.00391103,-0.0494373,-0.0372967,0.0103633,-0.00645595,-0.00993334,-0.0290606,-0.0294199,0.0146564,0.0115572,-0.0234998,0.0234799,0.0395401,0.0251389,0.0312804,-0.0102847,-0.00606907,0.00830223,-0.00392835,-0.0381818,-0.0221843,-0.0187185,-0.00504297,0.00806218,0.0230072,0.0140347,0.0303174,-0.0226414,-0.0510746,-0.0161253,0.0135588,0.0233942,-0.0195746,0.0102918,-0.0235515,-0.00911384,-0.00128974,0.00577149,0.00567063,-0.0106386,0.00423788,0.033041,0.0395392,-0.0121365,0.0410427,-0.00226445,-0.00863952,0.00183408,0.00673101,-0.00411031,-0.0115204,-0.0237672,-0.0269687,-0.0118862,-0.0409217,-0.0104069,-0.0357836,-0.0124738,-0.0209123,-0.00610095,-0.0103596,-0.0184618,0.00850208,-0.00191065,-0.0149541,-0.0401396,-0.01337,0.00890962,0.005943,-0.0345443,-0.0215667,0.0116379,-0.0129984,-0.040686,-0.0198244,-0.0227813,-0.0152915,-0.0230664,0.0116313,-0.0366014,0.0356276
0 days 00:06:06,-0.0135783,-0.000497059,-0.0169207,0.0181843,-0.0686441,-0.016686,0.0101361,-0.0240408,-0.0200643,-0.0132214,0.0107195,0.0198367,-0.00516237,0.0218081,-0.000257868,-0.0178131,-0.00802759,-0.0155192,-0.0597521,0.00369599,-0.0248184,-0.0154196,-0.0285703,0.0016351,-0.00920715,-0.0175179,-0.0215626,-0.00622669,0.0249811,-0.0119747,0.0246681,-0.0286158,-0.0328803,-0.0419429,-0.00139789,-0.00650893,-0.0197391,-0.0369984,-0.0262351,-0.00973668,-0.0205213,-0.0218061,-0.0355884,0.0087583,0.00786353,0.0195287,-0.0294898,-0.0168112,0.0495481,-0.0103131,9.81507e-05,-0.00915619,-0.0266773,0.0343243,-0.0126889,-0.00455839,-0.0452094,-0.0197716,-0.0259053,-0.00469811,0.00357653,0.0212216,0.0131743,-0.0330272,0.00579938,0.0349431,-0.0272518,0.00317138,-0.0437231,0.0204434,-0.00593332,0.0323291,-0.00106138,-0.0177509,0.0306315,-0.0299303,-0.0124136,-0.0531485,-0.0523585,-0.0131553,-3.18692e-05,-0.0331009,-0.045229,-0.0151174,-0.00313386,0.0366284,-0.0180606,-0.0080468,0.0226502,0.0341765,-0.00391998,-0.0338401,-0.00366546,0.0333691,0.0135508,-0.0170796,-0.0376403,0.0117754,-0.00888926,-0.00537348,0.00957593,0.00569124,0.0172957,-0.0331863,-0.069938,-0.0519147,-0.0225041,0.0107774,-0.0446307,0.0191164,-0.0158222,-0.0116386,-0.0020836,0.00802904,-0.00852209,-0.0157868,-0.0167929,0.00936905,-0.0350272,-0.0257801,0.0158837,-0.0290272,-0.0165832,0.0111739,0.0330973,-7.03223e-05,-0.0494851,0.00500976,-0.0308392,-0.00610436,-0.012714,-0.0174118,-0.0295613,-0.0356424,-0.0196151,-0.00082841,-0.0405622,-0.0201722,-0.0236852,-0.0134702,0.0183098,-0.0391943,-0.00569478,0.000507365,-0.0121936,-0.0404107,-0.00519739,-0.00333899,-0.0225128,-0.0203363,-0.0209659,-0.026702,-0.0444843,-0.0382776,0.0114511,-0.0559427,0.00845677
0 days 00:06:07.500000,-0.0337119,-0.00923939,-0.0512392,-0.0409671,-0.0570459,-0.0383269,0.0335091,-0.0547298,-0.0360873,-0.0103557,-0.011023,0.0374648,-0.0151367,0.0230042,-0.0127698,-0.0545296,-0.0315488,-0.0397284,-0.0584498,0.00141327,-0.0447563,0.0126722,-0.0443939,-0.0260777,-0.0356118,-0.00960539,-0.0491217,-0.0158846,0.00162366,-0.0180331,0.0292605,-0.00599843,-0.0451978,-0.0497153,-0.0451753,-0.0288875,-0.0438758,-0.0588924,-0.0125338,-0.0461906,-0.0508498,-0.00653049,-0.0498651,-0.0134222,0.0170034,-0.00427729,-0.0771757,-0.0544908,0.0495227,-0.0124873,-0.0173105,-0.0400757,-0.0411067,0.0104849,-0.036148,-0.0220328,-0.0503872,-0.0122604,-0.0564439,-0.0326703,-0.0338554,0.0261895,-0.0250759,-0.038302,0.0156721,-0.0253831,-0.0397954,-0.0393704,-0.048596,0.0369469,-0.0418187,0.0234018,-0.0359179,-0.035039,-0.0407559,-0.0218875,-0.0347447,-0.0484404,-0.0646172,-0.0466066,-0.00151407,-0.0274989,-0.0394204,0.0164244,-0.0250957,0.0358498,-0.0120306,-0.0451513,-0.0203973,-0.0241801,-0.0608688,-0.0446877,-0.0258799,0.0387729,0.00346835,0.0127633,-0.0567152,0.0296435,-0.0268796,-0.00390058,-0.0226202,0.00128078,-0.0184228,-0.0440294,-0.0760257,-0.0617113,-0.0595888,0.002435,-0.0265227,-0.0284011,-0.0392249,-0.033064,0.00689066,-0.0117353,0.00124285,-0.0295977,-0.0563819,-0.0493474,-0.0721075,-0.0191162,-0.0305568,-0.0511598,-0.0367609,0.00862593,0.0440641,0.0161602,-0.0427534,0.0234806,-0.0441871,-0.0139247,0.0041282,-0.0347445,-0.00572335,-0.0606535,-0.0196883,-0.023137,-0.0607552,-0.0222207,-0.0415145,-0.0375442,0.0286027,-0.0284548,-0.0023777,-0.0299611,-0.0446244,-0.0275821,0.018229,-0.0166542,-0.0480729,-0.00932329,-0.0302375,-0.0509597,-0.0640342,-0.0305654,0.00414269,-0.0609134,-0.0635764
0 days 00:06:09,-0.040912,-0.030398,-0.0518686,-0.0573482,-0.0445187,-0.043583,0.0316093,-0.0465604,-0.015598,0.00768467,-0.00726978,0.0436907,-0.00878902,0.0156356,-0.0248471,-0.0628818,-0.0178142,-0.047228,-0.0606999,0.00543645,-0.0458115,0.0143469,-0.03972,-0.0161091,-0.0590687,0.0177542,-0.0457185,-0.00196841,-0.0100864,-0.063039,0.0360979,0.037521,-0.0429101,-0.0457096,-0.0323836,-0.0575684,-0.0408509,-0.0733254,-0.001326,-0.0343663,-0.0402204,0.0120328,-0.0640852,0.00610628,0.0155043,-0.0144005,-0.0747903,-0.0535927,0.0447375,0.00547168,-0.0257289,-0.0328644,-0.0130458,-0.0121017,-0.0331434,-0.0160073,-0.0323588,0.00902862,-0.0631246,-0.044585,-0.0537808,0.0102337,-0.0485746,-0.0260162,0.0277514,-0.0526058,-0.0410594,-0.0563696,-0.033495,0.0303553,-0.0450387,0.0190523,-0.0330819,-0.0267834,-0.0532454,-0.00761486,-0.0326264,-0.0310013,-0.0637535,-0.0409639,0.0186852,-0.00624632,-0.0266364,0.0119638,-0.0247093,0.0297767,-0.00393065,-0.0427934,-0.0339687,-0.0628789,-0.0660297,-0.0275525,-0.030834,0.0389451,-0.0144704,0.023173,-0.065403,0.0372346,-0.0350037,0.00115754,-0.0365804,0.0142962,-0.0205045,-0.0363717,-0.0548064,-0.0299271,-0.042818,0.0155067,0.00561866,-0.045776,-0.0520759,-0.0438552,0.0178062,-0.0217056,0.0222179,-0.0315707,-0.0644656,-0.0491999,-0.026808,0.00325346,-0.0300173,-0.0527841,-0.0449926,0.00984935,0.0342633,0.0293697,0.000103932,0.0274988,-0.040011,-0.00860887,0.00671767,-0.0258025,0.0100469,-0.049325,-0.0157739,-0.0530799,-0.0576361,-0.0195078,-0.0201212,-0.0371553,0.00695236,-0.017586,0.000314616,-0.0323463,-0.0380937,-0.00363007,0.0315481,-0.00511215,-0.0355491,-0.0341687,-0.0336729,-0.0569885,-0.0467954,-0.0171139,-0.0159403,-0.0507456,-0.0735606
0 days 00:06:10.500000,-0.0205551,-0.0329753,-0.0202235,-0.0158912,-0.0261722,-0.00733168,0.0145499,-0.0127431,0.0194037,0.0317156,0.00875906,0.0312054,0.00256701,-0.00270303,-0.0139236,-0.0259232,0.0189273,-0.0263558,-0.042817,0.0370177,-0.00463637,0.00664592,-0.0224597,0.0214892,-0.0272925,0.0258674,0.00475476,0.00470803,0.017567,-0.0635093,0.0481836,0.0386369,-0.00884112,-0.0418993,-0.000277676,-0.0398477,-0.00584267,-0.0452024,-8.23257e-05,0.00918823,0.00734385,0.031273,-0.0593236,0.0372211,-0.00565528,0.0186942,-0.0388694,-0.0246237,0.0313279,0.0322897,-0.00441156,-0.00309572,-0.0156891,-0.00565461,0.00468807,0.00376895,0.00494223,0.0319773,-0.0366091,-0.00760397,-0.0154826,-0.00755508,-0.0253338,-0.0186511,0.0329715,-0.0115753,-0.0221437,-0.0348884,-0.0230122,0.0251384,-0.0428771,0.0295272,-0.00631556,0.000495819,0.0100027,-0.001322,-0.0108569,-0.0138873,-0.0419858,-0.00369163,0.0418976,-0.0108165,-0.0216775,-0.012432,-0.0160232,0.0402938,0.0132634,-0.00196439,-0.0024659,-0.0118974,-0.028805,0.00727429,0.0117086,0.0403527,-0.000961402,0.0356181,-0.0660733,0.0276306,-0.016417,0.00670664,-0.0281565,0.0174502,0.0192231,-0.0120254,-0.0208414,0.0123584,-0.00134046,0.0400886,0.0162808,0.0070166,-0.0273498,-0.0415025,0.00623317,-0.00631913,0.0266559,-0.00292485,-0.0294984,0.0108241,0.00983932,0.0145019,0.00686854,-0.0512312,-0.036768,0.0224491,0.023876,0.0201342,0.042131,0.0214319,0.00472563,0.024128,0.0162825,0.00680037,0.0117297,-0.01602,-0.00236346,-0.0572116,-0.055627,-0.0107259,0.0196053,-0.00256078,-0.00250122,0.000621623,0.0168888,0.0117251,0.00284529,0.0021839,0.0256965,0.00637751,0.00400307,-0.0479538,-0.0108212,-0.0199194,-0.00900002,-0.01734,-0.037822,-0.0278429,-0.00759618
0 days 00:06:12,-0.0157536,-0.00682355,-0.012272,0.0215981,0.0055261,0.0233601,0.0127726,0.00740511,0.034587,0.0321575,0.0125556,0.0080451,-0.000367187,-0.0266178,0.0101611,-0.00180832,0.0428303,-0.0127387,-0.00583249,0.0577003,0.0430813,0.0185305,-0.0258717,0.0334233,0.0276627,-0.00536842,0.0513012,-0.0142694,0.0460612,-0.00425248,0.0499825,-0.00214274,0.0281461,-0.044424,-0.0162609,-0.000141956,0.0287448,-0.000633514,0.000963778,0.0124022,0.0370111,0.046193,-0.0425809,0.0373996,-0.0200587,0.0488624,-0.0294656,-0.0148481,0.00434256,0.0353754,0.0259743,0.0134618,-0.0466172,0.0156032,0.0293065,0.00554502,0.0399249,0.0388312,-0.0158438,0.0342661,0.0200803,-0.00904309,0.0089489,-0.0220081,0.0156104,0.0306115,-0.00534382,-0.0052082,-0.0245919,0.0232106,-0.0431927,0.0302672,0.000196105,0.00181779,0.047855,0.00420745,-0.00998202,-0.021938,-0.0134418,0.00548132,0.0326967,-0.0366078,-0.0277071,-0.0155991,-0.0266843,0.0529651,0.0346,0.033452,0.0302853,0.0593914,-0.0219928,0.0255653,0.0522166,0.029653,0.0313408,0.0519169,-0.0710558,-0.00950503,0.0124934,0.00523477,-0.0224748,-0.0113625,0.040828,-0.00055943,-0.00931403,0.0285779,0.00542448,0.03751,0.0158759,0.0613465,-0.00332185,-0.0402432,-0.0105155,0.00320254,0.00742832,0.0373412,-0.00280832,0.0474158,-0.0196664,-0.000927879,0.0204334,-0.0643612,-0.0430052,0.028441,0.020457,0.00161865,0.0529583,0.0110541,0.0522101,0.0543318,0.0384921,0.0140748,0.00990003,-0.0176112,0.0199243,-0.0328159,-0.0716761,-0.0130722,0.0363497,0.0133419,0.0306928,0.0173347,0.029528,0.0535742,0.0265975,-0.0110566,0.0180504,-0.00759627,-0.000321382,-0.0160952,0.026129,0.0247096,0.0164676,-0.0225719,-0.0379497,-0.0059117,0.0504078
0 days 00:06:13.500000,-0.0436406,0.014771,-0.0353781,0.0274828,0.0388986,0.0113269,0.0215573,-0.00104047,0.0188487,0.00924849,0.00627018,-0.0175133,-0.0154568,-0.0290009,0.0128791,-0.0218459,0.0430725,-0.0189028,0.0228765,0.0297937,0.0527144,0.0372975,-0.048367,0.0120919,0.0502825,-0.0257163,0.054679,-0.0320426,0.0315204,0.0320979,0.0311304,-0.0262083,0.0454809,-0.0387175,-0.0435602,0.0175831,0.0474174,0.0151941,0.00428405,-0.0232004,0.0287934,0.0410626,-0.0233676,0.0231362,-0.00735637,0.0319254,-0.0377691,-0.0293692,-0.00886397,0.0176932,0.038169,0.00995086,-0.0282591,0.0237682,0.0141453,-0.015304,0.0412039,0.0250144,-0.0170512,0.0279547,-0.000325511,-0.00780703,0.0130551,-0.0127266,-0.0167235,0.0283809,-0.00337662,-0.000436036,-0.00911418,0.0126999,-0.0156929,0.00424556,-0.00377735,-0.0251676,0.0197495,0.0177717,-0.0359422,-0.0366732,0.00690116,-0.020415,0.00673056,-0.0381538,-0.0281285,-0.00488978,-0.0471868,0.0401282,0.0430995,0.0331414,0.0299908,0.0524702,-0.0510242,0.00760491,0.0364088,0.000345667,0.0440154,0.0450737,-0.0654369,-0.039343,0.0244246,-0.00806035,-0.020035,-0.041821,0.0159327,-0.00774341,-0.0176977,0.0117904,-0.011245,0.00386198,0.0157966,0.0577144,-0.0141805,-0.0314901,-0.00285713,-0.0067027,-0.02039,0.052218,-0.012551,0.0319848,-0.0456328,-0.028145,0.00353859,-0.0686789,-0.0626043,0.0211206,0.00780742,-0.0028963,0.0275347,-0.00223312,0.047902,0.0542714,0.0461662,-0.00694862,0.00463811,-0.0482696,0.0311313,-0.0055639,-0.0757506,-0.0242311,0.0255938,-0.0170966,0.0617847,0.0130674,0.0133207,0.0467841,0.0244982,-0.0112918,0.0172503,-0.0155273,-0.0417699,0.0274857,0.0420901,0.035394,0.023739,-0.0100947,-0.0152417,0.00998395,0.0548966
0 days 00:06:15,-0.0546351,0.00755712,-0.0351035,0.0223619,0.0620023,-0.0010499,0.0119336,-0.018073,-0.0118274,-0.00296641,0.00530167,-0.0333996,-0.0185051,0.00335424,-0.00718876,-0.0299228,0.0326414,-0.0163223,0.0406012,-0.0132364,0.0327865,0.0368979,-0.049774,0.00087176,0.0421183,-0.00114459,0.036748,-0.0171522,-7.03961e-05,0.015118,0.000169507,-0.00723255,0.0545519,-0.0109955,-0.0203045,0.0295307,0.0647175,0.0186375,0.00487916,-0.0278753,0.0200946,0.0136496,0.00886727,0.0280201,0.0154599,-0.00977084,-0.00630578,-0.0229697,0.00701765,0.0113775,0.0341527,-0.000942843,0.0331627,0.0146839,-0.000669469,-0.0233609,0.00224929,0.00414222,-0.000399295,-0.00175517,-0.0283612,-0.0157952,0.00341803,0.0273427,-0.0294769,0.00645855,0.00346859,-0.0181827,0.0248548,0.00580942,0.0349921,-0.0216956,0.013923,-0.0325155,-0.00641846,0.033987,-0.0444703,-0.0178006,0.0212766,-0.0192671,0.00161553,0.00378283,-0.00630109,-0.0109437,-0.0436225,0.0100891,0.0353326,0.0115032,0.0135209,-0.00844737,-0.0424881,-0.0194471,-0.0035799,-0.0247869,0.035819,0.030826,-0.0283891,-0.0215235,0.0129163,-0.0131795,0.00357202,-0.0339902,-0.00797416,-0.00540055,-0.00532498,-0.0121487,-0.00599994,-0.0227621,0.0106762,0.0194437,-0.0249275,0.00452882,0.0142757,-0.00624063,-0.0288423,0.0403468,-0.0220894,0.0064212,-0.0164096,-0.0322878,-0.00460676,-0.0355526,-0.049344,0.0221159,-0.0177768,0.00914623,-0.00329361,-0.0109155,0.0029634,0.0361084,0.0162852,-0.0126577,-0.00185179,-0.037846,0.0127176,0.00910054,-0.0385687,-0.0146944,0.0197319,-0.0346946,0.042434,0.000647415,-0.00967694,0.0112696,0.0267188,0.00868186,0.00998828,0.013043,-0.0337625,0.0361687,0.0302339,0.0190205,0.0266562,0.0178372,0.000980752,0.0289229,0.0319805
0 days 00:06:16.500000,-0.022584,-0.0038048,0.00371804,0.0125603,0.070241,0.0242207,-0.00496551,-0.0135606,-0.0214778,0.00822678,0.0131376,-0.0174262,-0.00205739,0.0408347,-0.0159904,0.0143437,0.020113,-0.00122849,0.060381,-0.0177815,0.0186414,0.0274683,-0.022016,0.00740824,0.0307249,0.0176381,0.0233246,0.0205134,-0.00508822,0.00425487,-0.0191569,0.0321065,0.0587663,0.0198665,0.0174734,0.0633442,0.075803,0.0449764,0.00598066,0.00943803,0.029222,-0.005086,0.0551012,0.0354474,0.0153721,-0.0319646,0.0497253,0.0156567,0.0163777,0.01365,0.0243722,-0.0082654,0.0508442,-0.000454433,0.0142938,0.00525769,-0.0407346,-0.00592967,0.0475058,-0.000907728,-0.00927288,-0.00838434,0.0113643,0.0751832,-0.014143,-0.00884268,0.0213813,-0.0329984,0.0315444,0.0181381,0.0623794,-0.0142343,0.0340445,-0.00670537,0.00754746,0.0481352,-0.0171857,0.020098,0.0312379,0.0243679,0.0139951,0.0581776,0.0209251,-0.0268436,-0.00949386,-0.00428557,0.0223435,-0.00200076,0.00383647,-0.032504,0.0227679,-0.0158747,-0.00894625,-0.0171511,0.022061,0.0444894,0.0177152,0.013328,-0.00689818,0.00382576,0.0405412,0.00151184,0.000837753,0.011911,0.0351397,-0.0152498,0.0141524,-0.0304137,0.0122683,-0.0111679,0.00535616,0.0554133,0.0109096,0.00971005,-0.00356771,0.0290107,2.56382e-05,-0.00522794,0.012229,0.00160284,0.00590057,0.0106535,0.00078785,0.0346956,-0.0316651,0.0264082,-0.00106605,0.00371121,-0.0241615,0.0210813,-0.029552,-0.00412048,0.00782841,0.0197822,-0.018444,0.0207302,0.0109507,0.0112677,0.0280774,0.00354361,0.00623975,0.00910095,-0.00348561,-0.00760996,0.0279467,0.0180886,-0.00247421,0.0382856,0.0293769,0.0115044,0.0173505,0.00217287,0.0269441,0.0310859,-0.00636165,0.0442761,0.00811523
0 days 00:06:18,0.00812999,0.00401111,0.0337925,-0.00383063,0.0536304,0.0443674,0.0062863,0.0221514,0.00329842,0.0181824,0.0218454,0.0262866,0.00764538,0.0478435,-0.0084546,0.0579422,0.00418907,-0.000953963,0.0670587,0.00327682,0.0205904,0.0274334,-0.00136825,-0.00653134,0.0159039,-0.00888117,0.00254925,0.0464372,0.00101167,0.0193769,-0.0133659,0.0626504,0.0423377,0.0244427,0.00990432,0.0885069,0.0508963,0.0681939,0.0160036,0.0303968,0.0257709,0.00371629,0.084226,0.0142625,-0.0157452,-0.0334111,0.0524006,0.0353327,-0.0082302,-0.00506973,0.00926121,-0.00334744,0.0134419,-0.0158429,0.0218046,0.0426102,-0.0511556,-0.00318485,0.0669827,0.0242497,0.0229367,0.0248409,0.0263921,0.0825897,-0.00934171,-0.0116247,0.0222969,-0.0294068,-0.00176198,0.0308432,0.0493268,0.00630178,0.022186,0.0109875,0.0196487,0.0533426,0.00640434,0.028778,0.0267553,0.0446869,0.0174514,0.079767,0.0198402,-0.0249092,0.0277177,0.00178227,0.00650606,-0.00129651,-0.00487394,-0.00422593,0.0669212,0.0124442,0.00837414,0.0135052,-0.00452436,0.0575454,0.0361939,0.00932451,-0.0198946,0.0160384,0.0469662,0.0237592,0.00827867,0.0127163,0.0602356,-0.0055335,0.020146,-0.0447235,0.0310922,-0.0205644,0.0455921,0.0793082,-0.00499728,0.00232322,0.0247582,0.0214603,0.0305477,-0.00775405,-0.000851183,0.0406145,0.0128625,0.0271774,0.0309528,0.0284308,-0.0183741,0.0344334,0.0291607,0.0407001,-0.0168619,0.00957781,-0.0484336,-0.0179818,0.0336221,0.0428114,-0.0325893,0.0363923,0.0251763,0.00758673,0.0224337,0.0372924,0.00580582,0.027291,0.0100537,-0.00493648,0.00347939,0.00499534,-0.00159643,0.0128643,0.0498284,-0.0123766,0.0122992,-0.00958167,0.0164577,0.014068,-0.0174149,0.0342542,-0.00566132
0 days 00:06:19.500000,0.00785857,0.00853603,0.0319181,-0.00272745,0.0123842,0.0189153,0.0310527,0.0640198,0.0193108,0.0116584,0.0221694,0.0463939,-0.00953894,0.0249906,-0.0135307,0.0481541,-0.00985308,-0.0132426,0.0418997,4.72135e-05,0.0297915,0.0242097,-2.19953e-05,-0.0387944,-0.00414373,-0.0311352,-0.0253706,0.0430759,-0.00956012,0.0135592,-0.00127647,0.0628324,0.0126334,0.0124262,-0.0168111,0.0657082,-0.00737005,0.0462118,0.0293938,0.0175612,-0.000966872,0.0111882,0.0689501,-0.0154622,-0.0473205,-0.0372004,-0.00384799,0.00747568,-0.0367851,-0.0334001,-0.00320242,0.0124103,-0.00995964,-0.0309612,-0.00869147,0.0473827,-0.0340232,-0.00177372,0.0218836,0.0348943,0.0225241,0.0384748,0.0286368,0.0356933,-0.0384068,0.00771712,-0.00264244,-0.00842062,-0.0222619,0.0187117,0.0233706,-0.00704336,-0.000151742,0.000793922,0.00457724,0.0324788,-0.00138471,0.0137825,0.00793846,0.0135901,0.00778987,0.0525216,-0.00441301,-0.0115782,0.0437405,0.00390685,-0.00999658,0.000919037,-0.0125188,0.0237794,0.0402951,0.0279911,0.00470087,0.0230477,-0.0400517,0.0220678,0.0388904,-0.0184868,-0.0230045,0.00162634,0.0107743,0.016562,-0.00325011,-0.0115444,0.0478568,-0.00927104,0.0224254,-0.0695545,0.0415377,-0.00301839,0.043527,0.0561854,-0.00995206,-0.0357979,0.0132978,0.00171432,0.035841,0.00517864,-0.00977104,0.0419135,0.011178,0.0269793,0.0224518,-0.000307479,0.00189875,0.0193072,0.048068,0.0597589,-0.0118911,-0.00161685,-0.0311495,-0.0400967,0.04648,0.00253152,-0.0317067,0.0415571,0.0113116,-0.0290661,-0.00575086,0.00993438,0.021378,0.0234905,-0.0184008,3.23262e-05,-0.0224027,-0.00206889,0.00790319,-0.0320729,-0.00131958,-0.0119119,-0.00598084,-0.0158524,0.000823545,-0.00873171,-0.0120353,0.00736941,0.00620978
